,price,adress,Комнат,Площадь,Кухня,Этаж,Ремонт,Тип сделки,Количество балконов,Мусоропровод,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество квартир,Холодное водоснабжение,Теплоснабжение,Энергоснабжение,Водоотведение,Балкон,Детская площадка,Год ввода в эксплуатацию,Класс энергоэффективности,Количество подъездов,Количество лифтов,Жилая,Высота потолков,Грузовой лифт,Газ,Лет в собственности,Вид из окон,Вентиляция,Количество собственников,Несовершеннолетние собственники,Прописанные несовершеннолетние,Перепланировка,Спортивная площадка,Санузел,Наименьшее количество этажей,Площадь парковки,latitude,longitude
0,10800000.0,"Владивосток, Аллилуева улица, 3",3.0,65.1,12.0,8.0,1,Свободная продажа,1.0,есть,1982.0,Панельный,П-43,16.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,1,,,,,,,,,,,,,,,,,,,,,43.1273453,131.92523920371065
1,4700000.0,"Владивосток, улица Нейбута, 2ак",1.0,28.4,6.0,25.0,0,,1.0,,2023.0,Монолитно-кирпичный,,25.0,,Железобетонный,,Центральное,275.0,,,,,1,,,,,,,,,,,,,,,,,,,,,43.1247669,131.9573481
2,4350000.0,"Приморскийкрай, Владивосток, 2",2.0,44.0,8.0,2.0,1,Свободная продажа,1.0,,1950.0,Блочный,,2.0,,Деревянный,Ленточный,,,Центральное,Центральное,Центральное,Центральное,0,,,,,,,,,,,,,,,,,,,,,,
3,5850000.0,"Приморскийкрай, Владивосток, улица Полковника Фесюна, 16",,36.6,6.0,3.0,0,Свободная продажа,1.0,,2024.0,Монолитный,,25.0,,Железобетонный,,Центральное,311.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,
4,15300000.0,"Владивосток, улица Леонова, 70",4.0,71.0,6.0,21.0,1,Свободная продажа,,,2019.0,Монолитный,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.08745,131.856284
5,9300000.0,"Владивосток, Луч, улица Тухачевского, 61",2.0,91.0,20.0,3.0,0,,1.0,,2014.0,Монолитный,,4.0,,Железобетонный,,Поквартирный котел,,,,,,1,есть,2018.0,,,,,,,,,,,,,,,,,,,,
6,13400000.0,"Владивосток, улица Майора Филипова, 14",2.0,62.2,,3.0,1,Свободная продажа,1.0,,2021.0,Монолитный,,24.0,,Железобетонный,,Центральное,219.0,,,,,0,,,,,,,,,,,,,,,,,,,,,43.168588400000004,131.94950257893308
7,4000000.0,"Владивосток, улица Часовитина, 21",1.0,34.2,10.0,2.0,0,,,есть,1982.0,Панельный,у-0101,9.0,1.0,Железобетонный,Ленточный,,152.0,,,,,0,,,E,,,,,,,,,,,,,,,,,,43.096342899999996,131.94498826067343
8,7000000.0,"Владивосток, Луговая улица, 64",3.0,62.9,5.8,2.0,1,,,,1974.0,Панельный,П-30,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,Центральное,Центральное,,,0,,,,,,,,,,,,,,,,,,,,,43.1334597,131.9466641998299
9,3700000.0,"Владивосток, Дом№20",1.0,23.3,3.3,1.0,1,,,,,Панельный,,9.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
10,2950000.0,"Владивосток, Сельская улица, 8",,16.8,5.0,9.0,1,,,есть,1983.0,Панельный,ПП-83,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.13214205,131.9387794
11,4850000.0,"Владивосток, Чистый Квартал, Русская улица, 63л",1.0,36.8,10.0,2.0,0,,1.0,,,Панельный,,10.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
12,11800000.0,"Владивосток, проспект Красного Знамени, 160а",2.0,53.3,25.1,1.0,1,,,,2019.0,Монолитный,,24.0,,Железобетонный,,Центральное,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.1203675,131.93121880348838
13,5100000.0,"Владивосток, 2",1.0,30.9,5.0,3.0,1,,,,1964.0,Кирпичный,1-528,5.0,,Железобетонный,Ленточный,Закрытая с приготовлением горячей воды на ЦТП,,Центральное,,,,0,,,E,,,,,,,,,,,,,,,,,,43.254036049999996,132.00916640629424
14,5950000.0,"Владивосток, улица Маковского, 193",2.0,41.5,6.0,5.0,1,,1.0,,1969.0,Кирпичный,v-кирпичный,5.0,,Железобетонный,,,,Центральное,Центральное,,Центральное,1,,,,4.0,,,,,,,,,,,,,,,,,43.23368255,132.0224931993368
15,3150000.0,"Приморскийкрай, Владивосток, улица Сабанеева, 1",2.0,34.3,4.5,8.0,1,,1.0,,,Кирпично-монолитный,,25.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
16,13950000.0,"Владивосток, проспект Красного Знамени, 30",4.0,76.0,5.0,5.0,1,Свободная продажа,1.0,есть,1979.0,Кирпичный,01-пз индивидуальный проект,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,0,,,,,1.0,,,,,,,,,,,,,,,,43.12845945,131.89490095
17,5000000.0,"Владивосток, улица Часовитина, 1",1.0,33.8,7.0,5.0,1,,1.0,есть,1980.0,Панельный,,9.0,1.0,Железобетонный,Сборный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,Центральное,,,,1,,,,,1.0,,,,,,,,,,,,,,,,43.096104,131.93924817702876
18,5800000.0,"Владивосток, Находкинская улица, 9дк",2.0,46.6,8.0,4.0,0,,1.0,,,Блочный,,4.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
19,7500000.0,"Владивосток, Монтажная улица, 1",2.0,46.6,7.0,10.0,1,Свободная продажа,2.0,,1971.0,Панельный,121,12.0,1.0,Железобетонный,Ленточный,,48.0,,,,,0,,,E,,1.0,36 м2,,,,,,,,,,,,,,,43.09585935,131.95810908630273
20,13000000.0,"Владивосток, улица Крыгина, 17",3.0,77.0,10.0,2.0,1,,1.0,,1960.0,Кирпичный,v-кирпичный,4.0,,Железобетонный,Иной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,Центральное,Центральное,,,0,,,,,,,,,,,,,,,,,,,,,43.0926549,131.8622118
21,4600000.0,"Владивосток, Добровольского улица, 31",1.0,29.5,9.0,1.0,1,,,,1964.0,Панельный,60,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,Центральное,,,,0,,,E,,,,,,,,,,,,,,,,,,43.0950737,131.9759215
